drs_uri,name,gender,library_id,reference_genome,sample_id,case_id,investigation,experimental_strategy,sample_type,platform
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a803,LP6005519-DNA_D05.srt.aln.bam.bai,Male,LP6005519-DNA_D05,hs37d5,I3,S_Irula-2,SGDP-Irula,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a804,LP6005443-DNA_H05.annotated.nh.vcf.gz.tbi,Male,LP6005443-DNA_H05,hs37d5,NA15728,S_Czech-2,SGDP-Czech,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a805,LP6005443-DNA_E06.annotated.nh.vcf.gz,Male,LP6005443-DNA_E06,hs37d5,NA21581,S_Masai-2,SGDP-Masai,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a806,LP6005443-DNA_E09.srt.aln.bam.bai,Male,LP6005443-DNA_E09,hs37d5,HGDP01338,S_Naxi-1,SGDP-Naxi,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a807,LP6005442-DNA_H03.annotated.nh.vcf.gz,Male,LP6005442-DNA_H03,hs37d5,Est375,S_Estonian-1,SGDP-Estonian,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a808,LP6005677-DNA_B01.srt.aln.bam.bai,Female,LP6005677-DNA_B01,hs37d5,ALB212,S_Albanian-1,SGDP-Albanian,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a809,SS6004469.annotated.nh.vcf.gz.tbi,Male,SS6004469,hs37d5,HGDP00775,B_Han-3,SGDP-Han,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a80a,LP6005592-DNA_C05.srt.aln.bam.bai,Female,LP6005592-DNA_C05,hs37d5,SA0722,S_Khomani_San-2,SGDP-Khomani_San,WGS,Genomic_from_saliva,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a80b,LP6005442-DNA_A04.annotated.nh.vcf.gz,Male,LP6005442-DNA_A04,hs37d5,mg31,S_Georgian-2,SGDP-Georgian,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a80c,LP6005592-DNA_B03.annotated.nh.vcf.gz,Male,LP6005592-DNA_B03,hs37d5,HGDP00722,S_Palestinian-1,SGDP-Palestinian,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a80d,LP6005441-DNA_A05.annotated.nh.vcf.gz.tbi,Male,LP6005441-DNA_A05,hs37d5,HGDP00530,S_French-1,SGDP-French,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a80e,LP6005441-DNA_C02.srt.aln.bam.bai,Male,LP6005441-DNA_C02,hs37d5,HGDP01364,S_Basque-1,SGDP-Basque,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a80f,LP6005442-DNA_H10.annotated.nh.vcf.gz,Female,LP6005442-DNA_H10,hs37d5,HG02574,S_Gambian-2,SGDP-Gambian,WGS,Genomic_from_cell_lines,Illumina
