IID	sgdp_id	population	region	country	latitude	longitude	embargo
LP6005443-DNA_D09	S_Kusunda-2	Kusunda	SouthAsia	Nepal	28.07245287	84.259486	FullyPublic
LP6005677-DNA_B02	S_Kyrgyz-1	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	42.9	74.6	FullyPublic
LP6005677-DNA_A02	S_Kyrgyz-2	Kyrgyz	CentralAsiaSiberia	Kyrgyzystan	42.9	74.6	FullyPublic
LP6005441-DNA_B07	S_Lahu-1	Lahu	EastAsia	China	22.0	100.0	FullyPublic
LP6005443-DNA_E01	S_Lahu-2	Lahu	EastAsia	China	22.0	100.0	FullyPublic
LP6005442-DNA_H04	S_Lezgin-1	Lezgin	WestEurasia	Russia	42.117	48.183	FullyPublic
LP6005442-DNA_G04	S_Lezgin-2	Lezgin	WestEurasia	Russia	42.117	48.183	FullyPublic
LP6005442-DNA_F11	S_Luhya-1	Luhya	Africa	Kenya	1.3	36.8	FullyPublic
LP6005442-DNA_E11	S_Luhya-2	Luhya	Africa	Kenya	1.3	36.8	FullyPublic
LP6005677-DNA_G01	S_Luo-1	Luo	Africa	Kenya	-0.1	34.3	FullyPublic
LP6005442-DNA_F09	S_Luo-2	Luo	Africa	Kenya	-0.1	34.3	FullyPublic
LP6005519-DNA_G04	S_Madiga-1	Madiga	SouthAsia	India	17.7	83.3	FullyPublic
LP6005519-DNA_H04	S_Madiga-2	Madiga	SouthAsia	India	17.7	83.3	FullyPublic
LP6005441-DNA_C07	S_Makrani-1	Makrani	SouthAsia	Pakistan	26.0	64.0	FullyPublic
LP6005441-DNA_D07	S_Makrani-2	Makrani	SouthAsia	Pakistan	26.0	64.0	FullyPublic
LP6005519-DNA_E04	S_Mala-2	Mala	SouthAsia	India	17.7	83.3	FullyPublic
LP6005519-DNA_F04	S_Mala-3	Mala	SouthAsia	India	17.7	83.3	FullyPublic
LP6005441-DNA_E07	S_Mandenka-1	Mandenka	Africa	Senegal	12.0	-12.0	FullyPublic
LP6005441-DNA_F07	S_Mandenka-2	Mandenka	Africa	Senegal	12.0	-12.0	FullyPublic
LP6005443-DNA_F04	S_Mansi-1	Mansi	CentralAsiaSiberia	Russia	63.8	61.45	FullyPublic
LP6005443-DNA_G04	S_Mansi-2	Mansi	CentralAsiaSiberia	Russia	63.65	62.1	FullyPublic
LP6005441-DNA_G07	S_Mayan-1	Mayan	America	Mexico	19.0	-91.0	FullyPublic
LP6005441-DNA_H07	S_Mayan-2	Mayan	America	Mexico	19.0	-91.0	FullyPublic
LP6005442-DNA_G11	S_Mende-1	Mende	Africa	SierraLeone	8.5	-13.2	FullyPublic
LP6005442-DNA_H11	S_Mende-2	Mende	Africa	SierraLeone	8.5	-13.2	FullyPublic
LP6005441-DNA_C08	S_Miao-1	Miao	EastAsia	China	28.0	109.0	FullyPublic
LP6005441-DNA_D08	S_Miao-2	Miao	EastAsia	China	28.0	109.0	FullyPublic
LP6005443-DNA_E11	S_Mixe-2	Mixe	America	Mexico	16.95	-96.58	FullyPublic
LP6005443-DNA_F11	S_Mixe-3	Mixe	America	Mexico	16.95	-96.58	FullyPublic
LP6005443-DNA_G11	S_Mixtec-1	Mixtec	America	Mexico	17.0	-97.0	FullyPublic
LP6005443-DNA_H11	S_Mixtec-2	Mixtec	America	Mexico	17.0	-97.0	FullyPublic
LP6005441-DNA_E08	S_Mongola-1	Mongola	CentralAsiaSiberia	China	45.0	111.0	FullyPublic
LP6005441-DNA_F08	S_Mongola-2	Mongola	CentralAsiaSiberia	China	45.0	111.0	FullyPublic
LP6005443-DNA_E10	S_North_Ossetian-1	North_Ossetian	WestEurasia	Russia	43.017	44.650	FullyPublic
LP6005443-DNA_F10	S_North_Ossetian-2	North_Ossetian	WestEurasia	Russia	43.017	44.650	FullyPublic
LP6005441-DNA_C09	S_Orcadian-1	Orcadian	WestEurasia	OrkneyIslands	59.0	-3.0	FullyPublic
LP6005441-DNA_D09	S_Orcadian-2	Orcadian	WestEurasia	OrkneyIslands	59.0	-3.0	FullyPublic
LP6005441-DNA_E09	S_Oroqen-1	Oroqen	EastAsia	China	50.4	126.5	FullyPublic
LP6005441-DNA_F09	S_Oroqen-2	Oroqen	EastAsia	China	50.4	126.5	FullyPublic
LP6005441-DNA_C10	S_Pathan-1	Pathan	SouthAsia	Pakistan	33.5	70.5	FullyPublic
LP6005441-DNA_D10	S_Pathan-2	Pathan	SouthAsia	Pakistan	33.5	70.5	FullyPublic
LP6005441-DNA_A04	S_Piapoco-1	Piapoco	America	Colombia	3.0	-68.0	FullyPublic
LP6005441-DNA_B04	S_Piapoco-2	Piapoco	America	Colombia	3.0	-68.0	FullyPublic
LP6005519-DNA_A05	S_Relli-1	Relli	SouthAsia	India	17.7	83.3	FullyPublic
